fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color_hue,Age
"10,5933512567945","0,56","0,19","1,8",104,12,47,"0,9964","3,19","0,93","9,5",5,17
"9,4216656126891","0,62","0,09","2,2",84,11,108,"0,9964","3,15","0,66","9,8",5,15
"9,87077885983719","0,6","0,1","2,2",85,14,111,"0,9964","3,15","0,66","9,8",5,18
"11,8148445240185","0,31","0,44","2,3","0,08",22,46,"0,9988","3,32","0,67","9,7",6,15
"9,80233059340289","0,56","0,19","1,8",104,12,47,"0,9964","3,19","0,93","9,5",5,15
"10,6109659861313","0,4","0,31","2,2","0,09",13,62,"0,9966","3,07","0,63","10,5",6,20
"10,3528849493323","0,54","0,28","1,9",77,11,40,"0,9978","3,39","0,61",10,6,17
"11,2222424039251","0,56","0,12",2,82,7,28,997,"3,37","0,5","9,4",6,18
"11,3329274828808","0,55","0,04","2,2",119,14,56,"0,9962","3,21","0,6","10,9",6,15
"10,2987808791472","0,69","0,08","1,8",97,22,89,"0,9959","3,34","0,54","9,2",6,15
"9,74904651821352","1,07","0,09","1,7",178,10,89,"0,9962","3,3","0,57",9,5,14
"11,0935734269795","0,55","0,04","2,2",119,14,56,"0,9962","3,21","0,6","10,9",6,16
"10,2996548260067",695,0,"2,5",75,3,13,998,"3,49","0,52","9,2",5,12
"10,1323569508675","0,71",0,"2,6","0,08",11,34,"0,9976","3,44","0,53","9,5",5,16
"10,9103275799547","0,5","0,17","1,6",82,21,102,996,"3,39","0,48","9,5",5,15
"10,598211257556","0,62","0,04","1,9",146,27,90,"0,9984","3,16","0,7","9,4",5,17
"9,00715324372907","1,33",0,"1,7",81,3,12,"0,9964","3,53","0,49","10,9",5,18
"9,3805955422007","1,33",0,"1,8",82,3,12,"0,9964","3,54","0,48","10,9",5,16
"12,8467599953141","0,59","0,16","1,8",65,3,16,"0,9962","3,42","0,92","10,5",7,30
"10,9391484807784","0,38","0,15","1,8",72,6,19,"0,9955","3,42","0,57","9,4",5,13
"10,1305463800753",745,"0,56",2,118,30,134,"0,9968","3,24","0,66","9,4",5,12
"9,3517571276152","0,5","0,09","2,3",49,17,99,"0,9937","3,63","0,63",13,5,18
"10,3856480076354","0,5","0,09","2,3",49,17,99,"0,9937","3,63","0,63",13,5,13
"11,960318104054","0,5","0,01","1,5","0,06",17,26,"0,9952","3,4","0,58","9,8",6,17
"10,7770078720187","1,04","0,05","2,2",84,13,29,"0,9959","3,22","0,55","9,9",6,18
"9,36315778029348",745,"0,11","1,9","0,09",16,63,"0,9965","3,19","0,82","9,6",5,15
"10,6110976947947",715,"0,15","1,8",89,10,52,"0,9968","3,23","0,77","9,5",5,14
"9,8472035402683",415,"0,36",2,81,13,45,"0,9972","3,48","0,64","9,2",5,15
"10,3481759757817","0,56","0,19","2,1",81,15,105,"0,9962","3,33","0,54","9,5",5,13
"10,409933204377","0,56","0,19",2,81,17,108,"0,9962","3,32","0,54","9,5",5,16
"9,99077070075838",745,"0,11","1,9","0,09",16,63,"0,9965","3,19","0,82","9,6",5,15
"9,68579375578052",715,"0,15","1,8",89,10,52,"0,9968","3,23","0,77","9,5",5,17
"10,6919424625529","0,34",0,"1,8","0,05",27,63,"0,9916","3,68","0,79",14,6,20
"10,2038464192839","0,39","0,08","1,7",66,3,20,"0,9954","3,34","0,58","9,4",5,15
"10,4169648966631","0,34",0,"1,8","0,05",27,63,"0,9916","3,68","0,79",14,6,18
"10,1169442100964","0,67","0,55","1,8",117,32,141,"0,9968","3,17","0,62","9,4",5,17
"9,71511741042363","0,68","0,02","1,8",87,21,94,"0,9944","3,54","0,52",10,5,17
"10,9994629524122","0,49","0,26","1,6",236,10,88,"0,9968","3,11","0,8","9,3",5,18
"11,6986804708542","0,49","0,1","2,3",74,12,30,"0,9959","3,42","0,58","10,2",6,15
"11,6180948998226","0,4","0,44","2,8",89,11,43,"0,9975","3,53","0,61","10,5",6,15
"10,3579216043909","0,33","0,47","2,1",77,5,11,"0,9958","3,33","0,53","10,3",6,20
"9,96894559689312","0,52",1,"3,4","0,61",32,69,"0,9996","2,74",2,"9,4",4,11
"10,6967052779442","0,6","0,03","1,8",95,25,99,995,"3,35","0,54","10,1",5,14
"10,2704337189341","0,6","0,03","1,8",95,25,99,995,"3,35","0,54","10,1",5,17
"10,6908356021709","0,43","0,42","5,5","0,07",29,129,"0,9973","3,42","0,72","10,5",5,13
"9,56601645631346","0,43","0,42","5,5",71,28,128,"0,9973","3,42","0,71","10,5",5,15
"10,1364924514106","0,43","0,42","5,5","0,07",29,129,"0,9973","3,42","0,72","10,5",5,17
"9,37966043149036","0,43","0,42","5,5",71,28,128,"0,9973","3,42","0,71","10,5",5,14
"10,9248147949715","0,68",0,"2,2",73,12,22,"0,9969","3,48","0,5","9,3",5,14
"11,6487212367364","0,6","0,18","1,9",79,18,86,"0,9968","3,59","0,57","9,3",6,15
"9,50370210556507","0,95","0,03",2,"0,09",7,20,"0,9959","3,2","0,56","9,6",5,18
"9,56036765260677","0,68","0,02","1,3",72,9,20,"0,9965","3,17","1,08","9,2",4,7
"11,4405184847157","0,53","0,04","1,7",76,17,31,"0,9964","3,33","0,56",10,6,18
"10,5719755769971","0,6","0,26","7,3","0,07",36,121,"0,9982","3,37","0,49","9,4",5,13
"10,1725966503384","0,59","0,26","7,2","0,07",35,121,"0,9981","3,37","0,49","9,4",5,13
"10,7999207934849","0,63","0,48","1,7","0,1",14,96,"0,9961","3,19","0,62","9,5",5,17
"10,2517294334563","0,64","0,1","2,1",85,18,101,"0,9956","3,34","0,52","10,2",5,16
"9,94800793005968","0,55","0,03","1,6",72,17,42,"0,9956","3,37","0,48",9,4,7
"10,8918808862438","0,63","0,07","2,1",89,11,44,"0,9953","3,47","0,55","10,4",6,15
"10,1743887253602",705,"0,24","1,8","0,36",15,63,"0,9964",3,"1,59","9,5",5,17
"9,82842620719217",885,"0,03","1,8",58,4,8,"0,9972","3,36","0,33","9,1",4,10
"10,0176888941383","0,42","0,17",2,73,6,18,"0,9972","3,29","0,61","9,2",6,15
"11,7313801033776","0,42","0,17",2,73,6,18,"0,9972","3,29","0,61","9,2",6,18
"11,62643165637","0,62","0,05","1,9",68,24,42,"0,9961","3,42","0,57","11,5",6,17
"10,665325566079","0,38","0,21",2,"0,08",7,35,"0,9961","3,33","0,47","9,5",5,13
"9,4139053489343","0,5","0,04","1,5",85,19,49,"0,9958","3,35","0,78","9,5",5,13
"9,43992814353119","0,38","0,21",2,"0,08",7,35,"0,9961","3,33","0,47","9,5",5,15
"11,7901719484432","0,52","0,42","2,3",87,8,38,"0,9972","3,58","0,61","10,5",6,15
"10,5070513703276",805,0,"2,5",68,7,20,"0,9969","3,48","0,56","9,6",5,12
"10,8505794099221","0,61","0,14","2,4",67,10,42,"0,9969","3,19","0,59","9,5",5,15
"9,07357490686322","0,61","0,14","2,4",67,10,42,"0,9969","3,19","0,59","9,5",5,13
"9,28032490835502","0,61","0,49",2,"0,27",23,110,"0,9972","3,12","1,02","9,3",5,13
"9,43942807057239","0,73","0,02","2,5",76,16,42,"0,9972","3,44","0,52","9,3",5,17
"9,14269306597979","0,61","0,2","1,8",77,11,65,"0,9971","3,54","0,58","9,3",5,16
"10,0612845158674","0,62","0,21","1,9",79,8,62,997,"3,52","0,58","9,3",6,20
"10,1101803159011","0,31","0,57",2,111,26,85,"0,9971","3,26","0,53","9,7",5,12
"10,1728645791768","0,39","0,48",2,82,14,67,"0,9972","3,34","0,55","9,2",5,13
"9,02536537425235",705,"0,1","2,6",84,9,26,"0,9976","3,39","0,49","9,7",5,13
"9,51249615236802","0,5","0,33",2,84,15,143,"0,9968","3,2","0,55","9,5",5,18
"10,6804241526352","0,49","0,32","1,9",82,17,144,"0,9968","3,2","0,55","9,5",5,15
"9,82161678361302","0,5","0,35","2,9",77,21,127,"0,9976","3,23","0,62","9,4",5,18
"11,0145318321626","0,37","0,25","1,9",74,21,49,"0,9974","3,57","0,62","9,8",6,19
"9,68445475167893","0,63","0,12","3,8",99,16,126,"0,9969","3,28","0,61","9,5",5,16
"10,2073577254846","0,55","0,21","2,2",71,7,28,"0,9964","3,28","0,55","9,7",5,17
"10,4977868410708","0,55","0,21","2,2",71,7,28,"0,9964","3,28","0,55","9,7",5,12
"10,3861293202766","0,59","0,33",2,74,24,120,"0,9968","3,25","0,54","9,4",5,17
"10,4269058229148","0,58","0,3","2,4",74,15,55,"0,9968","3,46","0,59","10,2",5,12
"11,1873674556324","0,3","0,6",2,67,12,27,"0,9981","3,11","0,97","10,1",6,17
"12,2773065533075",835,"0,08","1,2",46,13,93,"0,9924","3,57","0,85",13,7,25
"9,17383833280588","1,09","0,06","2,1",61,12,31,"0,9948","3,51","0,43","11,4",4,7
"12,9184413168395","0,32","0,47","1,4",56,9,24,"0,99695","3,22","0,82","10,3",7,30
"10,5289853305368","0,37","0,48","2,1",97,39,145,"0,9975","3,04","1,03","9,3",5,13
"10,5585724686688","0,5","0,11","1,5",75,16,49,"0,99545","3,36","0,79","9,5",5,14
"9,81484385502337","0,42","0,35","1,6",88,16,39,"0,9961","3,34","0,55","9,2",5,17
"11,4896265936488","0,43","0,36","1,6",89,14,37,"0,99615","3,34","0,56","9,2",6,18
"12,8173241844345","0,3","0,74","2,6",95,9,28,"0,9994","3,2","0,77","10,8",7,29
"12,4312366161241","0,3","0,74","2,6",95,9,28,"0,9994","3,2","0,77","10,8",7,27
"9,12901500899739","0,57","0,31","1,8",69,26,120,"0,99625","3,29","0,53","9,3",5,12
"9,50501664096081","0,44","0,28","2,7","0,1",18,95,"0,9966","3,22","0,67","9,4",5,12
"12,0637801868174","0,3","0,58","2,1",54,7,19,998,"3,31","0,88","10,5",7,26
"11,9042918458995","0,53","0,6",2,39,5,19,"0,99585","3,3","0,86","12,4",6,20
"11,0086750059624",725,"0,24","2,8",83,10,62,"0,99685","3,35","0,56",10,6,20
"10,6683991439869","0,44","0,64","2,1",59,5,15,998,"3,21","0,67","10,2",6,15
"10,9461790162116","0,57","0,26","2,2","0,06",28,65,"0,9959","3,3","0,43","10,1",5,16
"10,9521734693456",735,"0,08","2,4",92,10,41,"0,9974","3,24","0,71","9,8",6,17
"10,3361022168892","0,49","0,49","5,6","0,06",26,121,"0,9974","3,34","0,76","10,5",5,18
"9,83332885606887",625,"0,16",2,101,13,49,"0,9962","3,14","0,57",11,5,14
"10,5844303132292",725,"0,22","2,2",72,11,41,"0,9967","3,36","0,55","9,1",5,17
"10,4519996268474","0,49","0,19","1,9",76,10,44,"0,9957","3,39","0,54","9,7",5,15
"10,5288784009919","0,53","0,33","2,4","0,08",24,144,"0,99655","3,3","0,6","9,5",5,15
"11,5496543783081","0,34","0,37",2,82,24,58,"0,9964","3,34","0,59","9,4",6,15
"10,5989844899495","0,53","0,26",2,101,16,72,"0,9957","3,15","0,57","9,4",5,12
"9,41431110612986","0,61","0,04","1,5",57,5,10,"0,99525","3,42","0,6","9,5",5,15
"11,4612852544012",645,"0,25",2,83,8,28,"0,99815","3,28","0,6",10,6,18
"9,83234323140726",635,"0,36",2,89,15,55,"0,99745","3,31","0,57","10,4",4,11
"11,6553147318322","0,43","0,25","2,6",73,29,63,"0,99615","3,37","0,58","10,5",6,15
"11,3015641837284","0,59","0,5",2,337,27,81,"0,9964","3,04","1,61","9,5",6,19
"10,3030293599511","0,82","0,14","2,6",89,9,23,"0,9984","3,39","0,63","9,8",5,12
"10,7931015005647","0,43","0,25","2,6",73,29,63,"0,99615","3,37","0,58","10,5",6,18
"10,4356298500144","0,52","0,25","2,6",81,10,37,"0,99685","3,46","0,5",11,5,18
"12,4788217993934","0,48","0,04","1,6",54,19,106,"0,9927","3,54","0,62","12,2",7,27
"10,6089367163839","0,38","0,06","1,8",78,12,49,"0,99625","3,37","0,52","9,9",6,18
"11,2630405684712","0,37","0,2","2,8","0,09",18,58,998,"3,34","0,7","9,6",6,15
"10,1332687452622","0,52","0,25","2,6",81,10,37,"0,99685","3,46","0,5",11,5,16
"11,7826354040619",1,"0,09","2,3",65,7,37,"0,99685","3,32","0,55",9,6,17
"10,1357823736639","0,63",0,"1,9",97,14,38,"0,99675","3,37","0,58",9,6,20
"10,3166400964052","0,63",0,"1,9",97,14,38,"0,99675","3,37","0,58",9,6,15
"11,9857738106064",645,0,"1,9",97,15,39,"0,99675","3,37","0,58","9,2",6,15
"11,2710758407997","0,63",0,"1,9",97,14,38,"0,99675","3,37","0,58",9,6,19
"11,1457293274601",1,"0,09","2,3",65,7,37,"0,99685","3,32","0,55",9,6,18
"9,12156881686527",635,"0,37","1,7",263,5,62,"0,9971",3,"1,09","9,3",5,16
"11,3720316013372","0,38","0,56","2,1",93,6,24,"0,99925","3,14","0,71","10,9",6,16
"11,3111368836334","0,58","0,1","1,8",102,28,109,"0,99565","3,08","0,49","9,8",6,16
"12,0590563711833","0,21","0,44","2,2",75,10,24,"1,00005","3,07","0,84","9,2",7,25
"12,0810970154302","0,21","0,44","2,2",75,10,24,"1,00005","3,07","0,84","9,2",7,28
"10,2315270718765","0,66",0,2,84,6,23,"0,9983","3,61","0,96","9,9",6,15
"9,15274987042719","0,68","0,07","1,9",75,16,51,"0,99685","3,38","0,52","9,5",5,17
"9,16476864886261","0,6","0,17","2,3",72,11,73,"0,9963","3,2","0,45","9,3",5,12
"10,2293214129719","0,53","0,06","1,7",74,9,39,"0,99615","3,35","0,48","9,8",6,15
"10,4972523775641","0,66",0,2,84,6,23,"0,9983","3,61","0,96","9,9",6,18
"10,2314240033097","0,32","0,44","1,6",63,16,37,"0,9985","3,22","0,78",10,6,17
"10,7426477228428","0,6",0,"1,8",74,16,34,"0,9972","3,47","0,7","9,9",6,16
"10,1783833305455","0,35","0,48","3,1","0,09",5,21,"0,9986","3,17","0,53","10,5",5,18
"10,5333114441961",775,"0,42","1,9",92,8,86,"0,9959","3,23","0,59","9,5",5,15
"11,9759592285385","0,6",0,"1,8",74,16,34,"0,9972","3,47","0,7","9,9",6,19
"10,6982085117559","0,57","0,23","3,2",73,17,119,"0,99675","3,26","0,57","9,3",5,17
"10,6275579738048","0,34","0,37","2,2",75,5,13,998,"3,22","0,62","9,2",5,13
"9,53811660290807",695,0,"2,1",75,12,56,"0,9968","3,49","0,67","9,2",5,13
"10,5334870784062","0,41","0,76","1,8",611,8,45,"0,9968","3,06","1,26","9,4",5,16
"12,7161451357833","0,31","0,47","2,6",85,14,33,"0,99965","3,36","0,8","10,5",7,28
"9,26062385411204","0,33","0,23","1,7",77,18,45,"0,99625","3,29","0,65","9,3",5,14
"9,91673038655445",975,"0,04",2,87,12,67,"0,99565","3,35","0,6","9,4",4,11
"9,69679821007325","0,52","0,03","1,7","0,07",10,35,"0,99575","3,34","0,57",10,5,17
"9,21891474509133","0,37","0,23","1,8",77,23,49,"0,9963","3,28","0,67","9,3",5,12
"10,2818915015852","0,56","0,49","2,4",64,5,27,"0,9999","3,08","0,87","10,9",5,16
"12,5703850828098","0,26","0,52","1,8",71,6,10,"0,9968","3,2","0,72","10,2",7,27
"9,53220309365666","0,87",0,"3,3",96,26,61,"1,00025","3,6","0,72","9,8",4,8
"14,6149006796464","0,35","0,46","3,6",78,15,37,"0,9973","3,35","0,86","12,8",8,49
"11,1258975046008","0,54","0,04",3,77,7,27,"0,9987","3,69","0,91","9,4",6,15
"11,270885666199","0,18","0,51",4,104,4,23,"0,9996","3,28","0,97","10,1",6,16
"10,0576324473159",545,"0,06",4,87,27,61,"0,9965","3,36","0,67","10,7",6,20
"10,781980768111","0,18","0,51",4,104,4,23,"0,9996","3,28","0,97","10,1",6,15
"9,39060516195731","0,37","0,58",4,71,17,65,"0,99935","3,22","0,78","10,1",5,17
"9,03641494453386",715,"0,2","2,4",76,10,38,"0,99735","3,31","0,64","9,4",5,15
"10,1643857763216","0,65","0,18",7,88,27,94,"0,99915","3,38","0,77","9,4",5,17
"10,0791648309511",545,"0,06",4,87,27,61,"0,9965","3,36","0,67","10,7",6,20
"11,901883720382","0,54","0,04",3,77,7,27,"0,9987","3,69","0,91","9,4",6,16
"11,0232440413682","0,18","0,51",4,104,4,23,"0,9996","3,28","0,97","10,1",6,19
"15,6870970042504","0,32","0,45","6,4",73,5,13,"0,9976","3,23","0,82","12,6",8,40
"12,5370585897036","0,4","0,32","5,6",87,10,47,"0,9991","3,38","0,77","10,5",7,26
"11,032489510843","0,26","0,44","3,6",71,6,19,"0,9986","3,12","0,82","9,3",6,18
"12,5194597707052","0,27","0,68","3,5",358,5,10,"0,9972","3,25","1,08","9,9",7,25
"10,8881884828309","0,52","0,12",3,67,12,53,"0,9971","3,36","0,57","9,1",5,13
"12,9142978282889","0,4","0,32","5,6",87,10,47,"0,9991","3,38","0,77","10,5",7,30
"10,6809568562724","0,59","0,07","3,4",102,32,71,"1,00015","3,31","0,71","9,8",5,14
"10,1548655102931","0,59","0,07","3,4",102,32,71,"1,00015","3,31","0,71","9,8",5,18
"10,7192796728893","0,45","0,55",2,73,25,49,"0,9997","3,1","0,76","10,3",6,20
